Region,Date,Rainfall Deficit,SPI,SPEI,Drought Risk
Anuradapura AdministrativeArea4,2000-02-28,160.2019935,-0.353844433,-0.857894504,Moderate Risk
Anuradapura AdministrativeArea4,2000-02-29,124.9278924,-0.592573028,1.014160522,Moderate Risk
Anuradapura AdministrativeArea3,2000-03-01,128.0026789,-0.836417283,1.430183504,Moderate Risk
Anuradapura AdministrativeArea2,2000-03-02,244.696979,-1.439131261,0.360531376,Moderate Risk
Anuradapura AdministrativeArea2,2000-03-03,51.36523626,1.295835709,-0.534670357,Moderate Risk
Anuradapura AdministrativeArea4,2000-03-04,237.2709103,-2.068241693,-0.236131253,Moderate Risk
Anuradapura AdministrativeArea1,2000-03-05,252.5996075,1.937804649,1.14491546,High Risk
Anuradapura AdministrativeArea4,2000-03-06,275.340561,-1.624876386,-0.826730144,Moderate Risk
Anuradapura AdministrativeArea1,2000-03-07,206.7204508,2.399368259,-0.662150662,Moderate Risk
Anuradapura AdministrativeArea1,2000-03-08,133.3638321,2.44234024,-1.356862655,Moderate Risk
Anuradapura AdministrativeArea4,2000-03-09,156.8086831,-0.508064794,-0.403790388,Moderate Risk
Anuradapura AdministrativeArea3,2000-03-10,292.4340206,2.439105363,-1.653939471,High Risk
Anuradapura AdministrativeArea3,2000-03-11,270.2967066,1.845342586,-0.715862236,Moderate Risk
Anuradapura AdministrativeArea1,2000-03-12,165.8814773,-2.087848615,-0.506082476,Moderate Risk
Anuradapura AdministrativeArea2,2000-03-13,285.7657518,2.236642818,-0.97808347,Moderate Risk
Anuradapura AdministrativeArea3,2000-03-14,255.7387189,-2.28742807,-1.594567523,High Risk
Anuradapura AdministrativeArea3,2000-03-15,275.2724654,-1.590428531,0.08666897,High Risk
Anuradapura AdministrativeArea1,2000-03-16,220.7443086,0.422977704,1.460324679,Low Risk
Anuradapura AdministrativeArea1,2000-03-17,264.4135109,-2.096314108,-0.657421017,Moderate Risk
Anuradapura AdministrativeArea1,2000-03-18,272.9415353,-1.691361215,-1.052793714,Moderate Risk
Anuradapura AdministrativeArea3,2000-03-19,73.00414614,2.267458936,-0.859847129,Moderate Risk
Anuradapura AdministrativeArea3,2000-03-20,291.3042442,2.473439424,1.447548725,High Risk
Anuradapura AdministrativeArea2,2000-03-21,133.4032747,1.490682709,0.111230358,Low Risk
Anuradapura AdministrativeArea2,2000-03-22,159.9748774,0.076046957,-1.476838595,Moderate Risk
Anuradapura AdministrativeArea4,2000-03-23,247.9759398,2.001504678,0.836886596,High Risk
Anuradapura AdministrativeArea1,2000-03-24,216.2240764,-1.940506146,-1.382524267,Moderate Risk
Anuradapura AdministrativeArea3,2000-03-25,273.2649781,2.214459346,-1.759022388,High Risk
Anuradapura AdministrativeArea2,2000-03-26,150.1434377,-0.742235363,-0.977260494,Moderate Risk
Anuradapura AdministrativeArea1,2000-03-27,143.3220409,1.807446956,-1.327639282,Moderate Risk
Anuradapura AdministrativeArea1,2000-03-28,57.92221239,0.84186703,0.419989897,Low Risk
Anuradapura AdministrativeArea4,2000-03-29,165.6813442,2.30137152,-0.061734371,Moderate Risk
Anuradapura AdministrativeArea1,2000-03-30,231.0176926,1.823389739,0.896258202,High Risk
Anuradapura AdministrativeArea2,2000-03-31,125.2946794,1.939489068,0.046284201,High Risk
Anuradapura AdministrativeArea4,2000-04-01,165.6816284,0.658771781,-0.323976259,Moderate Risk
Anuradapura AdministrativeArea3,2000-04-02,104.8494421,1.665792655,0.104874762,High Risk
Anuradapura AdministrativeArea4,2000-04-03,243.1969515,1.285655754,-0.262055548,Moderate Risk
Anuradapura AdministrativeArea1,2000-04-04,65.12789034,-1.691884345,-1.851652424,High Risk
Anuradapura AdministrativeArea1,2000-04-05,226.3457638,0.742984457,0.722796452,Low Risk
Anuradapura AdministrativeArea2,2000-04-06,144.7350029,-1.759122267,1.848521305,High Risk
Anuradapura AdministrativeArea1,2000-04-07,60.39901735,1.847280609,-0.311865772,Moderate Risk
Anuradapura AdministrativeArea3,2000-04-08,263.3673968,-2.170251003,-0.305068065,Moderate Risk
Anuradapura AdministrativeArea2,2000-04-09,171.9304658,2.435233351,-1.816924485,High Risk
Anuradapura AdministrativeArea1,2000-04-10,199.8297424,-0.496866669,1.561516339,Moderate Risk
Anuradapura AdministrativeArea3,2000-04-11,233.0076729,-1.646853231,1.71648555,High Risk
Anuradapura AdministrativeArea2,2000-04-12,213.7686083,2.178374918,1.252556472,High Risk
Anuradapura AdministrativeArea1,2000-04-13,232.7142177,-2.272870069,-1.574618114,High Risk
Anuradapura AdministrativeArea3,2000-04-14,240.5704211,-0.149471827,1.600894725,Moderate Risk
Anuradapura AdministrativeArea3,2000-04-15,197.2878826,1.35113564,-1.904177346,High Risk
Anuradapura AdministrativeArea4,2000-04-16,141.4094577,-0.916247623,-0.221702707,Moderate Risk
Anuradapura AdministrativeArea2,2000-04-17,110.7855374,0.14417335,0.002494616,Low Risk
Anuradapura AdministrativeArea4,2000-04-18,275.7258092,1.002065082,1.336008404,Low Risk
Anuradapura AdministrativeArea3,2000-04-19,292.4812112,2.259882105,1.003436854,High Risk
Anuradapura AdministrativeArea4,2000-04-20,139.4156888,-1.986486804,1.188387586,High Risk
Anuradapura AdministrativeArea4,2000-04-21,78.07768227,-1.713866481,1.471603798,High Risk
Anuradapura AdministrativeArea4,2000-04-22,105.6343318,0.044354476,-0.095716318,Moderate Risk
Anuradapura AdministrativeArea2,2000-04-23,217.6668365,-0.407625194,1.121009414,Moderate Risk
Anuradapura AdministrativeArea1,2000-04-24,93.23334249,-0.446019197,-1.727867622,Moderate Risk
Anuradapura AdministrativeArea4,2000-04-25,245.0305683,-1.015192485,-0.221814309,Moderate Risk
Anuradapura AdministrativeArea1,2000-04-26,280.75756,0.303423993,-1.879469301,High Risk
Anuradapura AdministrativeArea2,2000-04-27,290.9128788,1.916441681,1.661260261,No Risk
Anuradapura AdministrativeArea1,2000-04-28,52.33137649,-1.695378297,1.833655128,High Risk
Anuradapura AdministrativeArea2,2000-04-29,289.5385412,-1.423568353,-1.664243759,Moderate Risk
Anuradapura AdministrativeArea1,2000-04-30,235.0486048,0.854117489,0.130506578,Low Risk
Anuradapura AdministrativeArea2,2000-05-01,71.01255807,-2.219011729,-0.699441575,Moderate Risk
Anuradapura AdministrativeArea3,2000-05-02,153.8101172,0.868820998,-0.629862861,Moderate Risk
Anuradapura AdministrativeArea2,2000-05-03,225.0113686,-0.927719246,-0.197199754,Moderate Risk
Anuradapura AdministrativeArea1,2000-05-04,289.1713732,-0.710730343,-1.499736139,Moderate Risk
Anuradapura AdministrativeArea4,2000-05-05,91.0353484,-0.472253131,-1.276919205,Moderate Risk
Anuradapura AdministrativeArea3,2000-05-06,81.93332048,-0.752062193,0.309474641,Moderate Risk
Anuradapura AdministrativeArea4,2000-05-07,168.0867633,1.706048106,-1.924976362,High Risk
Anuradapura AdministrativeArea1,2000-05-08,292.0247234,2.230342287,0.399204088,High Risk
Anuradapura AdministrativeArea4,2000-05-09,292.8448038,0.240057377,-0.724331249,Moderate Risk
Anuradapura AdministrativeArea4,2000-05-10,106.9786853,0.409392494,1.328825659,Low Risk
Anuradapura AdministrativeArea2,2000-05-11,129.836787,-2.14758446,0.400026031,High Risk
Anuradapura AdministrativeArea1,2000-05-12,277.0079964,1.065959642,0.832364803,Low Risk
Anuradapura AdministrativeArea4,2000-05-13,233.7103727,0.420494365,-1.542299275,High Risk
Anuradapura AdministrativeArea4,2000-05-14,293.0791072,-2.248027381,-0.936550541,Moderate Risk
Anuradapura AdministrativeArea4,2000-05-15,273.2870908,-1.507871665,1.986678436,High Risk
Anuradapura AdministrativeArea1,2000-05-16,103.7740126,-1.490282898,-0.265391012,Moderate Risk
Anuradapura AdministrativeArea3,2000-05-17,239.9317149,-1.64516024,-0.564539179,Moderate Risk
Anuradapura AdministrativeArea4,2000-05-18,62.14130789,0.793229773,1.495421436,Low Risk
Anuradapura AdministrativeArea4,2000-05-19,254.4581947,2.142198077,-1.867701565,High Risk
Anuradapura AdministrativeArea3,2000-05-20,200.3891906,1.314876627,0.139093447,Low Risk
Anuradapura AdministrativeArea3,2000-05-21,289.0252407,-0.113132574,-1.158971145,Moderate Risk
Anuradapura AdministrativeArea3,2000-05-22,290.0081139,-0.47974351,-0.527388834,Moderate Risk
Anuradapura AdministrativeArea4,2000-05-23,62.70377726,-0.567709473,-1.200891713,Moderate Risk
Anuradapura AdministrativeArea2,2000-05-24,90.13037139,0.506234788,-1.848708962,High Risk
Anuradapura AdministrativeArea1,2000-05-25,171.0517618,-0.703896705,-0.333951464,Moderate Risk
Anuradapura AdministrativeArea4,2000-05-26,269.8733812,-1.369390144,1.156812085,Moderate Risk
Anuradapura AdministrativeArea3,2000-05-27,253.6112856,0.514214533,1.807817731,High Risk
Anuradapura AdministrativeArea3,2000-05-28,291.0925066,-0.546472933,0.495411898,Moderate Risk
Anuradapura AdministrativeArea3,2000-05-29,204.5210293,-2.429375854,-0.444651631,Moderate Risk
Anuradapura AdministrativeArea3,2000-05-30,114.1408799,-2.388844432,1.079421094,High Risk
Anuradapura AdministrativeArea2,2000-05-31,56.27665988,-1.129316944,0.020895934,Moderate Risk
Anuradapura AdministrativeArea1,2000-06-01,105.7316227,0.062110998,-0.52951888,Moderate Risk
Anuradapura AdministrativeArea2,2000-06-02,218.8182995,-0.728802462,-1.28364123,Moderate Risk
Anuradapura AdministrativeArea2,2000-06-03,281.5687058,-2.379724238,1.184519937,High Risk
Anuradapura AdministrativeArea1,2000-06-04,130.2259168,-1.384241181,0.001703162,Moderate Risk
Anuradapura AdministrativeArea4,2000-06-05,268.9260826,-2.017903457,1.855214965,High Risk
Anuradapura AdministrativeArea4,2000-06-06,148.7245621,2.243160007,1.207638401,High Risk
Anuradapura AdministrativeArea2,2000-06-07,127.0678123,-0.935829622,-0.319935523,Moderate Risk
Anuradapura AdministrativeArea1,2000-06-08,177.2110607,-2.426168142,0.963400163,High Risk
Anuradapura AdministrativeArea3,2000-06-09,160.5683731,0.80281626,-0.186434029,Moderate Risk
Anuradapura AdministrativeArea1,2000-06-10,278.4499671,-1.337760297,-1.680537086,Moderate Risk
Anuradapura AdministrativeArea4,2000-06-11,167.0642369,0.333681275,0.066724206,Low Risk
Anuradapura AdministrativeArea2,2000-06-12,119.3338468,-1.746272727,1.462914478,High Risk
Anuradapura AdministrativeArea3,2000-06-13,260.6413944,2.420066176,1.421765274,High Risk
Anuradapura AdministrativeArea4,2000-06-14,299.6873779,2.351295933,0.299867655,High Risk
Anuradapura AdministrativeArea3,2000-06-15,212.0428548,0.779916758,-0.479905854,Moderate Risk
Anuradapura AdministrativeArea1,2000-06-16,112.6153422,1.036013109,-1.959597591,High Risk
Anuradapura AdministrativeArea1,2000-06-17,109.7037693,-0.370605544,-0.754360884,Moderate Risk
Anuradapura AdministrativeArea4,2000-06-18,64.42667405,2.310896727,1.959234309,No Risk
Anuradapura AdministrativeArea4,2000-06-19,69.32325963,-0.381301898,0.905964133,Moderate Risk
Anuradapura AdministrativeArea3,2000-06-20,278.7457738,-1.302660013,0.870354255,Moderate Risk
Anuradapura AdministrativeArea3,2000-06-21,74.12177676,-1.923106952,1.044333561,High Risk
Anuradapura AdministrativeArea1,2000-06-22,171.0859621,-1.459373498,0.480453533,Moderate Risk
Anuradapura AdministrativeArea2,2000-06-23,224.5304449,0.36106752,0.343434629,Low Risk
Anuradapura AdministrativeArea3,2000-06-24,262.5886957,-1.27454141,-0.185522979,Moderate Risk
Anuradapura AdministrativeArea1,2000-06-25,92.81773756,0.771247142,-0.224264025,Moderate Risk
Anuradapura AdministrativeArea2,2000-06-26,159.4446698,-0.589077401,1.483393822,Moderate Risk
Anuradapura AdministrativeArea4,2000-06-27,112.8700488,1.934364527,-0.426174953,Moderate Risk
Anuradapura AdministrativeArea4,2000-06-28,113.9557725,0.292390337,1.361167136,Low Risk
Anuradapura AdministrativeArea3,2000-06-29,125.9598269,0.613020266,1.350937702,Low Risk
Anuradapura AdministrativeArea2,2000-06-30,196.7790536,0.282799015,1.083592797,Low Risk
Anuradapura AdministrativeArea1,2000-07-01,54.14436792,1.927843871,-1.849430401,High Risk
Anuradapura AdministrativeArea3,2000-07-02,152.1915716,-2.18290216,-1.408111022,Moderate Risk
Anuradapura AdministrativeArea1,2000-07-03,96.70753381,-2.163256465,-0.741179431,Moderate Risk
Anuradapura AdministrativeArea2,2000-07-04,291.7796271,1.008701225,1.390133369,Low Risk
Anuradapura AdministrativeArea3,2000-07-05,195.6822898,1.33981951,1.493037525,Low Risk
Anuradapura AdministrativeArea2,2000-07-06,267.0238672,-0.332052909,-1.833770823,Moderate Risk
Anuradapura AdministrativeArea2,2000-07-07,98.92249669,-0.73847396,-0.701101787,Moderate Risk
Anuradapura AdministrativeArea2,2000-07-08,252.5039248,-1.110274669,1.401536819,Moderate Risk
Anuradapura AdministrativeArea1,2000-07-09,153.6956153,-1.328025571,-1.001227004,Moderate Risk
Anuradapura AdministrativeArea4,2000-07-10,94.42367221,2.059792948,1.904013226,No Risk
Anuradapura AdministrativeArea3,2000-07-11,240.3113006,-1.024302268,-0.042784934,Moderate Risk
Anuradapura AdministrativeArea1,2000-07-12,240.5027744,0.740393979,1.749250758,High Risk
Anuradapura AdministrativeArea2,2000-07-13,298.9719767,1.435473902,-0.284694423,Moderate Risk
Anuradapura AdministrativeArea1,2000-07-14,245.2343154,-2.390167108,-0.704804292,Moderate Risk
Anuradapura AdministrativeArea2,2000-07-15,86.31681198,-2.330629251,-0.550359299,Moderate Risk
Anuradapura AdministrativeArea2,2000-07-16,130.6361854,-0.834312977,1.53720233,Moderate Risk
Anuradapura AdministrativeArea2,2000-07-17,162.9317293,0.980078722,-0.677242455,Moderate Risk
Anuradapura AdministrativeArea2,2000-07-18,81.66320143,-1.196006824,0.677384886,Moderate Risk
Anuradapura AdministrativeArea1,2000-07-19,247.0097436,-2.492583548,-0.120629272,Moderate Risk
Anuradapura AdministrativeArea2,2000-07-20,181.6746345,-1.0592605,1.766684755,Moderate Risk
Anuradapura AdministrativeArea1,2000-07-21,286.1123923,-2.049345917,-1.362546112,Moderate Risk
Anuradapura AdministrativeArea1,2000-07-22,197.3270361,-1.402933471,-0.28537268,Moderate Risk
Anuradapura AdministrativeArea4,2000-07-23,180.7247709,-0.834049997,-1.501464752,Moderate Risk
Anuradapura AdministrativeArea1,2000-07-24,67.85628823,-1.859713225,0.312557368,High Risk
Anuradapura AdministrativeArea4,2000-07-25,87.33647624,1.031823637,-0.388403235,Moderate Risk
Anuradapura AdministrativeArea4,2000-07-26,262.3815192,-1.22039884,-1.75625107,Moderate Risk
Anuradapura AdministrativeArea4,2000-07-27,297.6689945,0.805473997,1.399352439,Low Risk
Anuradapura AdministrativeArea1,2000-07-28,153.794784,0.495164264,-0.497940869,Moderate Risk
Anuradapura AdministrativeArea4,2000-07-29,252.5215209,1.990227438,-0.025477036,Moderate Risk
Anuradapura AdministrativeArea3,2000-07-30,206.8964416,-2.060334138,-0.369946658,Moderate Risk
Anuradapura AdministrativeArea2,2000-07-31,289.7648184,-1.426959443,-0.045389286,Moderate Risk
Anuradapura AdministrativeArea1,2000-08-01,109.5343089,1.825892145,-1.934699209,High Risk
Anuradapura AdministrativeArea2,2000-08-02,186.2089358,1.610657282,1.261838117,High Risk
Anuradapura AdministrativeArea1,2000-08-03,152.1989546,-1.539472214,-0.670767952,Moderate Risk
Anuradapura AdministrativeArea4,2000-08-04,185.428994,-1.96131994,0.897847058,High Risk
Anuradapura AdministrativeArea3,2000-08-05,117.2145209,1.781207323,-1.740452818,High Risk
Anuradapura AdministrativeArea4,2000-08-06,174.4365407,-1.609309716,0.09530101,High Risk
Anuradapura AdministrativeArea1,2000-08-07,206.2010367,1.85554853,1.635167888,No Risk
Anuradapura AdministrativeArea4,2000-08-08,70.303971,2.305573497,-0.407007858,Moderate Risk
Anuradapura AdministrativeArea3,2000-08-09,235.7468137,-1.395966807,-1.21096396,Moderate Risk
Anuradapura AdministrativeArea2,2000-08-10,226.6307408,1.701938,-1.603675372,High Risk
Anuradapura AdministrativeArea2,2000-08-11,270.1144004,-0.38084455,1.436351854,Moderate Risk
Anuradapura AdministrativeArea4,2000-08-12,156.464138,1.443892124,-1.044775091,Moderate Risk
Anuradapura AdministrativeArea1,2000-08-13,65.41728315,-0.463022295,1.900284446,Moderate Risk
Anuradapura AdministrativeArea1,2000-08-14,165.3652823,-2.148022006,-1.008708867,Moderate Risk
Anuradapura AdministrativeArea2,2000-08-15,84.40229302,1.063476363,-0.076036017,Moderate Risk
Anuradapura AdministrativeArea3,2000-08-16,211.8617034,-1.7465568,-0.168023473,Moderate Risk
Anuradapura AdministrativeArea4,2000-08-17,61.78288103,2.135125447,-1.751961523,High Risk
Anuradapura AdministrativeArea4,2000-08-18,143.4991016,-0.411268585,0.127357679,Moderate Risk
Anuradapura AdministrativeArea2,2000-08-19,70.71072462,-2.08999926,0.690563919,High Risk
Anuradapura AdministrativeArea1,2000-08-20,50.84160852,-1.357599926,0.968542653,Moderate Risk
Anuradapura AdministrativeArea4,2000-08-21,290.139306,1.812588087,0.090367025,High Risk
Anuradapura AdministrativeArea1,2000-08-22,299.031837,-0.894572652,1.25034066,Moderate Risk
Anuradapura AdministrativeArea1,2000-08-23,188.8757379,1.781639975,1.008390007,High Risk
Anuradapura AdministrativeArea2,2000-08-24,109.7389625,-1.638566308,-1.224102752,Moderate Risk
Anuradapura AdministrativeArea1,2000-08-25,277.7747592,-0.158909382,-0.393593272,Moderate Risk
Anuradapura AdministrativeArea3,2000-08-26,280.7591493,1.891297459,-1.429672595,Moderate Risk
Anuradapura AdministrativeArea3,2000-08-27,263.6272228,-2.257975838,-1.466305385,Moderate Risk
Anuradapura AdministrativeArea2,2000-08-28,186.0924961,-0.978614086,0.848509418,Moderate Risk
Anuradapura AdministrativeArea4,2000-08-29,68.67554022,2.049257947,0.12183653,High Risk
Anuradapura AdministrativeArea1,2000-08-30,72.10973188,0.482631639,0.403799234,Low Risk
Anuradapura AdministrativeArea3,2000-08-31,274.1549469,1.081160655,0.928737133,Low Risk
Anuradapura AdministrativeArea2,2000-09-01,268.9567119,1.710642193,-0.891060271,Moderate Risk
Anuradapura AdministrativeArea2,2000-09-02,158.5993123,0.117982131,-0.394552165,Moderate Risk
Anuradapura AdministrativeArea1,2000-09-03,132.0386549,1.726829505,0.427212356,High Risk
Anuradapura AdministrativeArea2,2000-09-04,211.03098,0.693822853,-1.613484074,High Risk
Anuradapura AdministrativeArea4,2000-09-05,251.7469871,0.928252253,1.332216325,Low Risk
Anuradapura AdministrativeArea1,2000-09-06,232.9212355,-1.735727724,-0.626201503,Moderate Risk
Anuradapura AdministrativeArea4,2000-09-07,203.9007345,2.195094146,0.635011936,High Risk
Anuradapura AdministrativeArea3,2000-09-08,107.8777611,1.480421752,1.982259607,High Risk
Anuradapura AdministrativeArea3,2000-09-09,115.6262173,-1.229020019,-0.098550218,Moderate Risk
Anuradapura AdministrativeArea3,2000-09-10,231.0168703,0.399973332,-1.139806203,Moderate Risk
Anuradapura AdministrativeArea3,2000-09-11,250.6549631,-0.617670476,-1.134266405,Moderate Risk
Anuradapura AdministrativeArea2,2000-09-12,79.03379702,0.802009994,-1.758495135,High Risk
Anuradapura AdministrativeArea4,2000-09-13,96.82426193,2.468734216,1.068329204,High Risk
Anuradapura AdministrativeArea2,2000-09-14,220.1175655,-2.271268014,-0.82627464,Moderate Risk
Anuradapura AdministrativeArea2,2000-09-15,147.2466469,2.26261819,-1.30909695,Moderate Risk
Anuradapura AdministrativeArea3,2000-09-16,190.8232168,-2.138043339,0.854784135,High Risk
Anuradapura AdministrativeArea4,2000-09-17,203.7037382,-0.196176821,-0.763453434,Moderate Risk
Anuradapura AdministrativeArea1,2000-09-18,244.0508668,-0.089453997,0.401875791,Moderate Risk
Anuradapura AdministrativeArea1,2000-09-19,251.4292377,-1.156377727,-0.328695145,Moderate Risk
Anuradapura AdministrativeArea1,2000-09-20,120.0240613,0.33349643,-0.663389081,Moderate Risk
Anuradapura AdministrativeArea4,2000-09-21,185.3241822,1.669820732,-0.042281618,Moderate Risk
Anuradapura AdministrativeArea3,2000-09-22,80.88098466,-1.030189094,-0.744827043,Moderate Risk
Anuradapura AdministrativeArea3,2000-09-23,260.5037922,-2.147975312,1.482259677,High Risk
Anuradapura AdministrativeArea4,2000-09-24,261.3619846,0.661418503,-1.707838782,High Risk
Anuradapura AdministrativeArea3,2000-09-25,124.8764297,1.258725646,-1.8793855,High Risk
Anuradapura AdministrativeArea4,2000-09-26,90.15505186,2.272615049,-0.37442789,Moderate Risk
Anuradapura AdministrativeArea4,2000-09-27,67.52294455,-1.702376766,-1.30862546,Moderate Risk
Anuradapura AdministrativeArea1,2000-09-28,193.7441105,2.006799329,0.97490582,High Risk
Anuradapura AdministrativeArea1,2000-09-29,72.8570251,-0.089382614,-0.586264357,Moderate Risk
Anuradapura AdministrativeArea2,2000-09-30,220.1487112,-1.321208815,-0.954249151,Moderate Risk
Anuradapura AdministrativeArea4,2000-10-01,219.5316003,2.313742351,-0.562474147,Moderate Risk
Anuradapura AdministrativeArea1,2000-10-02,203.4968518,-1.307853647,-1.122064275,Moderate Risk
Anuradapura AdministrativeArea1,2000-10-03,269.1401255,1.167220929,-0.801390084,Moderate Risk
Anuradapura AdministrativeArea1,2000-10-04,144.5701732,1.424433892,0.271941141,Low Risk
Anuradapura AdministrativeArea3,2000-10-05,275.5673957,-0.347404738,1.456130184,Moderate Risk
Anuradapura AdministrativeArea1,2000-10-06,59.23134221,0.949924224,-0.516522564,Moderate Risk
Anuradapura AdministrativeArea3,2000-10-07,78.18924698,0.362385375,-0.717312891,Moderate Risk
Anuradapura AdministrativeArea1,2000-10-08,153.0513906,-1.539836238,1.127159515,High Risk
Anuradapura AdministrativeArea3,2000-10-09,198.4982547,1.299439411,-1.910294466,High Risk
Anuradapura AdministrativeArea3,2000-10-10,58.09390916,2.140080724,-0.791694698,Moderate Risk
